use,name,description,variableslink
,B05008,SEX BY PLACE OF BIRTH BY YEAR OF ENTRY FOR THE FOREIGN-BORN POPULATION,https://api.census.gov/data/2019/acs/acs5/groups/B05008.json
,B05009,AGE AND NATIVITY OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY NUMBER AND NATIVITY OF PARENTS,https://api.census.gov/data/2019/acs/acs5/groups/B05009.json
,B05010,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS AND NATIVITY OF PARENTS,https://api.census.gov/data/2019/acs/acs5/groups/B05010.json
,B05011,PERIOD OF NATURALIZATION,https://api.census.gov/data/2019/acs/acs5/groups/B05011.json
,B05012,NATIVITY IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B05012.json
,B05012PR,NATIVITY IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B05012PR.json
,B05013,SEX BY AGE FOR THE FOREIGN-BORN POPULATION,https://api.census.gov/data/2019/acs/acs5/groups/B05013.json
,B05014,SEX BY AGE FOR THE FOREIGN-BORN POPULATION,https://api.census.gov/data/2019/acs/acs5/groups/B05014.json
,B05015,PLACE OF BIRTH BY YEAR OF ENTRY FOR THE FOREIGN-BORN POPULATION,https://api.census.gov/data/2019/acs/acs5/groups/B05015.json
,B06001,PLACE OF BIRTH BY AGE IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B06001.json
,B06001PR,PLACE OF BIRTH BY AGE IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B06001PR.json
,B06002,MEDIAN AGE BY PLACE OF BIRTH IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B06002.json
,B06002PR,MEDIAN AGE BY PLACE OF BIRTH IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B06002PR.json
,B06003,PLACE OF BIRTH BY SEX IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B06003.json
,B06003PR,PLACE OF BIRTH BY SEX IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B06003PR.json
,B06004A,PLACE OF BIRTH (WHITE ALONE) IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B06004A.json
,B06004APR,PLACE OF BIRTH (WHITE ALONE) IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B06004APR.json
,B06004B,PLACE OF BIRTH (BLACK OR AFRICAN AMERICAN ALONE) IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B06004B.json
,B06004BPR,PLACE OF BIRTH (BLACK OR AFRICAN AMERICAN ALONE) IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B06004BPR.json
,B06004C,PLACE OF BIRTH (AMERICAN INDIAN AND ALASKA NATIVE ALONE) IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B06004C.json
,B06004CPR,PLACE OF BIRTH (AMERICAN INDIAN AND ALASKA NATIVE ALONE) IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B06004CPR.json
,B06004D,PLACE OF BIRTH (ASIAN ALONE) IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B06004D.json
,B06004DPR,PLACE OF BIRTH (ASIAN ALONE) IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B06004DPR.json
,B06004E,PLACE OF BIRTH (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE) IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B06004E.json
,B06004EPR,PLACE OF BIRTH (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE) IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B06004EPR.json
,B06004F,PLACE OF BIRTH (SOME OTHER RACE ALONE) IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B06004F.json
,B06004FPR,PLACE OF BIRTH (SOME OTHER RACE ALONE) IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B06004FPR.json
,B06004G,PLACE OF BIRTH (TWO OR MORE RACES) IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B06004G.json
,B06004GPR,PLACE OF BIRTH (TWO OR MORE RACES) IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B06004GPR.json
,B06004H,"PLACE OF BIRTH (WHITE ALONE, NOT HISPANIC OR LATINO) IN THE UNITED STATES",https://api.census.gov/data/2019/acs/acs5/groups/B06004H.json
,B06004HPR,"PLACE OF BIRTH (WHITE ALONE, NOT HISPANIC OR LATINO) IN PUERTO RICO",https://api.census.gov/data/2019/acs/acs5/groups/B06004HPR.json
,B06004I,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B06004I.json
,B06004IPR,PLACE OF BIRTH (HISPANIC OR LATINO) IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B06004IPR.json
,B06007,PLACE OF BIRTH BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B06007.json
,B06007PR,PLACE OF BIRTH BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B06007PR.json
,B06008,PLACE OF BIRTH BY MARITAL STATUS IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B06008.json
,B06008PR,PLACE OF BIRTH BY MARITAL STATUS IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B06008PR.json
,B06009,PLACE OF BIRTH BY EDUCATIONAL ATTAINMENT IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B06009.json
,B06009PR,PLACE OF BIRTH BY EDUCATIONAL ATTAINMENT IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B06009PR.json
,B06010,PLACE OF BIRTH BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B06010.json
,B06010PR,PLACE OF BIRTH BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B06010PR.json
,B06011,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) BY PLACE OF BIRTH IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B06011.json
,B06011PR,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) BY PLACE OF BIRTH IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B06011PR.json
,B06012,PLACE OF BIRTH BY POVERTY STATUS IN THE PAST 12 MONTHS IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B06012.json
,B06012PR,PLACE OF BIRTH BY POVERTY STATUS IN THE PAST 12 MONTHS IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B06012PR.json
,B07001,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B07001.json
,B07001PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B07001PR.json
,B07002,MEDIAN AGE BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B07002.json
,B07002PR,MEDIAN AGE BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B07002PR.json
,B07003,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY SEX FOR CURRENT RESIDENCE IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B07003.json
,B07003PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY SEX FOR CURRENT RESIDENCE IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B07003PR.json
,B07004A,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (WHITE ALONE) FOR CURRENT RESIDENCE IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B07004A.json
,B07004APR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (WHITE ALONE) FOR CURRENT RESIDENCE IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B07004APR.json
,B07004B,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (BLACK OR AFRICAN AMERICAN ALONE) FOR CURRENT RESIDENCE IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B07004B.json
,B07004BPR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (BLACK OR AFRICAN AMERICAN ALONE) FOR CURRENT RESIDENCE IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B07004BPR.json
,B07004C,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (AMERICAN INDIAN AND ALASKA NATIVE ALONE) FOR CURRENT RESIDENCE IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B07004C.json
,B07004CPR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (AMERICAN INDIAN AND ALASKA NATIVE ALONE) FOR CURRENT RESIDENCE IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B07004CPR.json
,B07004D,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (ASIAN ALONE) FOR CURRENT RESIDENCE IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B07004D.json
,B07004DPR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (ASIAN ALONE) FOR CURRENT RESIDENCE IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B07004DPR.json
,B07004E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE) FOR CURRENT RESIDENCE IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B07004E.json
,B07004EPR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE) FOR CURRENT RESIDENCE IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B07004EPR.json
,B07004F,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (SOME OTHER RACE ALONE) FOR CURRENT RESIDENCE IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B07004F.json
,B07004FPR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (SOME OTHER RACE ALONE) FOR CURRENT RESIDENCE IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B07004FPR.json
,B07004G,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (TWO OR MORE RACES) FOR CURRENT RESIDENCE IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B07004G.json
,B07004GPR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (TWO OR MORE RACES) FOR CURRENT RESIDENCE IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B07004GPR.json
,B07004H,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR (WHITE ALONE, NOT HISPANIC OR LATINO) FOR CURRENT RESIDENCE IN THE UNITED STATES",https://api.census.gov/data/2019/acs/acs5/groups/B07004H.json
,B07004HPR,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR (WHITE ALONE, NOT HISPANIC OR LATINO) FOR CURRENT RESIDENCE IN PUERTO RICO",https://api.census.gov/data/2019/acs/acs5/groups/B07004HPR.json
,B07004I,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (HISPANIC OR LATINO) FOR CURRENT RESIDENCE IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B07004I.json
,B07004IPR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (HISPANIC OR LATINO) FOR CURRENT RESIDENCE IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B07004IPR.json
,B07007,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY CITIZENSHIP STATUS FOR CURRENT RESIDENCE IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B07007.json
,B07007PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY CITIZENSHIP STATUS FOR CURRENT RESIDENCE IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B07007PR.json
,B07008,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY MARITAL STATUS FOR CURRENT RESIDENCE IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B07008.json
,B07008PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY MARITAL STATUS FOR CURRENT RESIDENCE IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B07008PR.json
,B07009,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY EDUCATIONAL ATTAINMENT FOR CURRENT RESIDENCE IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B07009.json
,B07009PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY EDUCATIONAL ATTAINMENT FOR CURRENT RESIDENCE IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B07009PR.json
,B07010,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR CURRENT RESIDENCE IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B07010.json
,B07010PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR CURRENT RESIDENCE IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B07010PR.json
,B07011,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B07011.json
,B07011PR,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B07011PR.json
,B07012,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY POVERTY STATUS IN THE PAST 12 MONTHS FOR CURRENT RESIDENCE IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B07012.json
,B07012PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY POVERTY STATUS IN THE PAST 12 MONTHS FOR CURRENT RESIDENCE IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B07012PR.json
,B07013,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY TENURE FOR CURRENT RESIDENCE IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B07013.json
,B07013PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY TENURE FOR CURRENT RESIDENCE IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B07013PR.json
,B07101,MOVERS BETWEEN REGIONS IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B07101.json
,B07201,GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--METROPOLITAN STATISTICAL AREA LEVEL IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B07201.json
,B07201PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--METROPOLITAN STATISTICAL AREA LEVEL IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B07201PR.json
,B07202,GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--MICROPOLITAN STATISTICAL AREA LEVEL IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B07202.json
,B07202PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--MICROPOLITAN STATISTICAL AREA LEVEL IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B07202PR.json
,B07203,GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--NOT METROPOLITAN OR MICROPOLITAN STATISTICAL AREA LEVEL IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B07203.json
,B07203PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--NOT METROPOLITAN OR MICROPOLITAN STATISTICAL AREA LEVEL IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B07203PR.json
,B07204,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--STATE, COUNTY AND PLACE LEVEL IN THE UNITED STATES",https://api.census.gov/data/2019/acs/acs5/groups/B07204.json
,B07204PR,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--STATE, COUNTY AND PLACE LEVEL IN PUERTO RICO",https://api.census.gov/data/2019/acs/acs5/groups/B07204PR.json
,B07401,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B07401.json
,B07401PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B07401PR.json
,B07402,MEDIAN AGE BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B07402.json
,B07402PR,MEDIAN AGE BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,https://api.census.gov/data/2019/acs/acs5/groups/B07402PR.json
,B07403,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY SEX FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,https://api.census.gov/data/2019/acs/acs5/groups/B07403.json
