variableid,label,concept,groupid
B02001_006E,Native Hawaiian and Other Pacific Islander alone,RACE,B02001
B02001_009E,Two or more races!!Two races including Some other race,RACE,B02001
B02001_004E,American Indian and Alaska Native alone,RACE,B02001
B02001_003E,Black or African American alone,RACE,B02001
B02001_001E,Total,RACE,B02001
B02001_008E,Two or more races,RACE,B02001
B02001_002E,White alone,RACE,B02001
B02001_010E,"Two or more races!!Two races excluding Some other race, and three or more races",RACE,B02001
B03002_020E,Hispanic or Latino!!Two or more races!!Two races including Some other race,HISPANIC OR LATINO ORIGIN BY RACE,B03002
B03002_013E,Hispanic or Latino!!White alone,HISPANIC OR LATINO ORIGIN BY RACE,B03002
B03002_019E,Hispanic or Latino!!Two or more races,HISPANIC OR LATINO ORIGIN BY RACE,B03002
B03002_006E,Not Hispanic or Latino!!Asian alone,HISPANIC OR LATINO ORIGIN BY RACE,B03002
B03002_014E,Hispanic or Latino!!Black or African American alone,HISPANIC OR LATINO ORIGIN BY RACE,B03002
B03002_015E,Hispanic or Latino!!American Indian and Alaska Native alone,HISPANIC OR LATINO ORIGIN BY RACE,B03002
B03002_001E,Total,HISPANIC OR LATINO ORIGIN BY RACE,B03002
B03002_012E,Hispanic or Latino,HISPANIC OR LATINO ORIGIN BY RACE,B03002
B03002_003E,Not Hispanic or Latino!!White alone,HISPANIC OR LATINO ORIGIN BY RACE,B03002
B03002_007E,Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,HISPANIC OR LATINO ORIGIN BY RACE,B03002
B03002_011E,"Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",HISPANIC OR LATINO ORIGIN BY RACE,B03002
B03002_010E,Not Hispanic or Latino!!Two or more races!!Two races including Some other race,HISPANIC OR LATINO ORIGIN BY RACE,B03002
B03002_004E,Not Hispanic or Latino!!Black or African American alone,HISPANIC OR LATINO ORIGIN BY RACE,B03002
B03002_021E,"Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",HISPANIC OR LATINO ORIGIN BY RACE,B03002
B03002_009E,Not Hispanic or Latino!!Two or more races,HISPANIC OR LATINO ORIGIN BY RACE,B03002
B03002_016E,Hispanic or Latino!!Asian alone,HISPANIC OR LATINO ORIGIN BY RACE,B03002
B03002_018E,Hispanic or Latino!!Some other race alone,HISPANIC OR LATINO ORIGIN BY RACE,B03002
B03002_008E,Not Hispanic or Latino!!Some other race alone,HISPANIC OR LATINO ORIGIN BY RACE,B03002
B03002_002E,Not Hispanic or Latino,HISPANIC OR LATINO ORIGIN BY RACE,B03002
B03002_005E,Not Hispanic or Latino!!American Indian and Alaska Native alone,HISPANIC OR LATINO ORIGIN BY RACE,B03002
B03002_017E,Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,HISPANIC OR LATINO ORIGIN BY RACE,B03002
B03003_001E,Total,HISPANIC OR LATINO ORIGIN,B03003
B03003_002E,Not Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003
B03003_003E,Hispanic or Latino,HISPANIC OR LATINO ORIGIN,B03003
B07001_076E,Moved from different state!!55 to 59 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_057E,Moved from different county within same state!!40 to 44 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_048E,Moved within same county!!75 years and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_081E,Moved from abroad,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_013E,60 to 64 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_030E,Same house 1 year ago!!65 to 69 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_032E,Same house 1 year ago!!75 years and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_021E,Same house 1 year ago!!20 to 24 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_084E,Moved from abroad!!18 and 19 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_004E,18 and 19 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_055E,Moved from different county within same state!!30 to 34 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_024E,Same house 1 year ago!!35 to 39 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_034E,Moved within same county!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_025E,Same house 1 year ago!!40 to 44 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_065E,Moved from different state,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_035E,Moved within same county!!5 to 17 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_028E,Same house 1 year ago!!55 to 59 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_005E,20 to 24 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_039E,Moved within same county!!30 to 34 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_091E,Moved from abroad!!50 to 54 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_090E,Moved from abroad!!45 to 49 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_018E,Same house 1 year ago!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_050E,Moved from different county within same state!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_038E,Moved within same county!!25 to 29 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_080E,Moved from different state!!75 years and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_001E,Total,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_022E,Same house 1 year ago!!25 to 29 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_008E,35 to 39 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_051E,Moved from different county within same state!!5 to 17 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_077E,Moved from different state!!60 to 64 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_069E,Moved from different state!!20 to 24 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_067E,Moved from different state!!5 to 17 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_033E,Moved within same county,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_043E,Moved within same county!!50 to 54 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_056E,Moved from different county within same state!!35 to 39 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_053E,Moved from different county within same state!!20 to 24 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_093E,Moved from abroad!!60 to 64 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_012E,55 to 59 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_014E,65 to 69 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_061E,Moved from different county within same state!!60 to 64 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_036E,Moved within same county!!18 and 19 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_031E,Same house 1 year ago!!70 to 74 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_037E,Moved within same county!!20 to 24 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_049E,Moved from different county within same state,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_010E,45 to 49 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_063E,Moved from different county within same state!!70 to 74 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_096E,Moved from abroad!!75 years and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_019E,Same house 1 year ago!!5 to 17 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_016E,75 years and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_073E,Moved from different state!!40 to 44 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_023E,Same house 1 year ago!!30 to 34 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_074E,Moved from different state!!45 to 49 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_079E,Moved from different state!!70 to 74 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_006E,25 to 29 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_075E,Moved from different state!!50 to 54 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_083E,Moved from abroad!!5 to 17 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_044E,Moved within same county!!55 to 59 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_088E,Moved from abroad!!35 to 39 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_020E,Same house 1 year ago!!18 and 19 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_003E,5 to 17 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_060E,Moved from different county within same state!!55 to 59 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_058E,Moved from different county within same state!!45 to 49 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_071E,Moved from different state!!30 to 34 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_015E,70 to 74 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_017E,Same house 1 year ago,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_078E,Moved from different state!!65 to 69 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_086E,Moved from abroad!!25 to 29 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_026E,Same house 1 year ago!!45 to 49 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_029E,Same house 1 year ago!!60 to 64 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_085E,Moved from abroad!!20 to 24 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_027E,Same house 1 year ago!!50 to 54 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_002E,1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_041E,Moved within same county!!40 to 44 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_062E,Moved from different county within same state!!65 to 69 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_007E,30 to 34 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_009E,40 to 44 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_045E,Moved within same county!!60 to 64 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_082E,Moved from abroad!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_066E,Moved from different state!!1 to 4 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_064E,Moved from different county within same state!!75 years and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_095E,Moved from abroad!!70 to 74 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_089E,Moved from abroad!!40 to 44 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_087E,Moved from abroad!!30 to 34 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_042E,Moved within same county!!45 to 49 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_047E,Moved within same county!!70 to 74 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_094E,Moved from abroad!!65 to 69 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_068E,Moved from different state!!18 and 19 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_072E,Moved from different state!!35 to 39 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_040E,Moved within same county!!35 to 39 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_046E,Moved within same county!!65 to 69 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_070E,Moved from different state!!25 to 29 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_011E,50 to 54 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_052E,Moved from different county within same state!!18 and 19 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_059E,Moved from different county within same state!!50 to 54 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_054E,Moved from different county within same state!!25 to 29 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07001_092E,Moved from abroad!!55 to 59 years,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,B07001
B07011_003E,Median income in the past 12 months --!!Moved within same county,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN,B07011
B07011_001E,Median income in the past 12 months --!!Total,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN,B07011
B07011_002E,Median income in the past 12 months --!!Same house 1 year ago,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN,B07011
B07011_005E,Median income in the past 12 months --!!Moved from different state,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN,B07011
B07011_004E,Median income in the past 12 months --!!Moved from different county within same state,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN,B07011
B07011_006E,Median income in the past 12 months --!!Moved from abroad,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN,B07011
B07402_005E,Median age --!!Total living in area 1 year ago!!Moved to different state,MEDIAN AGE BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,B07402
B07402_002E,Median age --!!Total living in area 1 year ago!!Same house,MEDIAN AGE BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,B07402
B07402_003E,Median age --!!Total living in area 1 year ago!!Moved within same county,MEDIAN AGE BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,B07402
B07402_004E,Median age --!!Total living in area 1 year ago!!Moved to different county within same state,MEDIAN AGE BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,B07402
B07402_001E,Median age --!!Total living in area 1 year ago,MEDIAN AGE BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,B07402
B08103_006E,"Median age --!!Taxicab, motorcycle, bicycle, or other means",MEDIAN AGE BY MEANS OF TRANSPORTATION TO WORK,B08103
B08103_002E,"Median age --!!Car, truck, or van - drove alone",MEDIAN AGE BY MEANS OF TRANSPORTATION TO WORK,B08103
B08103_001E,Median age --!!Total,MEDIAN AGE BY MEANS OF TRANSPORTATION TO WORK,B08103
B08103_004E,Median age --!!Public transportation (excluding taxicab),MEDIAN AGE BY MEANS OF TRANSPORTATION TO WORK,B08103
B08103_005E,Median age --!!Walked,MEDIAN AGE BY MEANS OF TRANSPORTATION TO WORK,B08103
B08103_007E,Median age --!!Worked from home,MEDIAN AGE BY MEANS OF TRANSPORTATION TO WORK,B08103
B08103_003E,"Median age --!!Car, truck, or van - carpooled",MEDIAN AGE BY MEANS OF TRANSPORTATION TO WORK,B08103
B08301_011E,Public transportation (excluding taxicab)!!Bus,MEANS OF TRANSPORTATION TO WORK,B08301
B08301_018E,Bicycle,MEANS OF TRANSPORTATION TO WORK,B08301
B08301_017E,Motorcycle,MEANS OF TRANSPORTATION TO WORK,B08301
B08301_005E,"Car, truck, or van!!Carpooled!!In 2-person carpool",MEANS OF TRANSPORTATION TO WORK,B08301
B08301_001E,Total,MEANS OF TRANSPORTATION TO WORK,B08301
B08301_014E,"Public transportation (excluding taxicab)!!Light rail, streetcar or trolley (carro p̼blico in Puerto Rico)",MEANS OF TRANSPORTATION TO WORK,B08301
B08301_003E,"Car, truck, or van!!Drove alone",MEANS OF TRANSPORTATION TO WORK,B08301
B08301_012E,Public transportation (excluding taxicab)!!Subway or elevated rail,MEANS OF TRANSPORTATION TO WORK,B08301
B08301_020E,Other means,MEANS OF TRANSPORTATION TO WORK,B08301
B08301_007E,"Car, truck, or van!!Carpooled!!In 4-person carpool",MEANS OF TRANSPORTATION TO WORK,B08301
B08301_009E,"Car, truck, or van!!Carpooled!!In 7-or-more-person carpool",MEANS OF TRANSPORTATION TO WORK,B08301
B08301_004E,"Car, truck, or van!!Carpooled",MEANS OF TRANSPORTATION TO WORK,B08301
B08301_008E,"Car, truck, or van!!Carpooled!!In 5- or 6-person carpool",MEANS OF TRANSPORTATION TO WORK,B08301
B08301_002E,"Car, truck, or van",MEANS OF TRANSPORTATION TO WORK,B08301
B08301_021E,Worked from home,MEANS OF TRANSPORTATION TO WORK,B08301
B08301_006E,"Car, truck, or van!!Carpooled!!In 3-person carpool",MEANS OF TRANSPORTATION TO WORK,B08301
B08301_019E,Walked,MEANS OF TRANSPORTATION TO WORK,B08301
B08301_010E,Public transportation (excluding taxicab),MEANS OF TRANSPORTATION TO WORK,B08301
B08301_015E,Public transportation (excluding taxicab)!!Ferryboat,MEANS OF TRANSPORTATION TO WORK,B08301
